Time	Velocity	RPM	Torque	Gear_Idx	Gear
0	0	800.65	23.0262448	1	First Gear
0.0584947213998022	1.32830206	968.5624658	29.83150688		Second Gear
0.116989442799604	2.658975967	1137.134368	36.81664374		Third Gear
0.175484164199407	3.995275425	1305.728492	44.10924485		Fourth Gear
0.233978885599209	5.334118786	1474.321457	51.84343793		Fifth Gear
0.292473606999011	6.674865495	1642.913103	59.99595647		
0.350968328398813	8.017790042	1811.501471	68.461792		
0.409463049798616	9.361437721	1980.088255	77.13538633		
0.467957771198418	10.70641224	2148.670213	85.91099561		
0.52645249259822	12.05185389	2317.198443	94.68052069		
0.584947213998023	13.39783906	2485.683071	103.3392295		
0.643441935397825	14.74415913	2655.301006	111.8633783		
0.701936656797627	16.09061689	2823.087607	120.0677085		
0.760431378197429	17.43712519	2962.709049	126.6990576		
0.818926099597231	18.78353992	3083.881627	132.2947507		
0.877420820997034	20.12973692	3168.814582	136.1217519		
0.935915542396836	21.47553627	3253.864268	139.8706976		
0.994410263796638	22.82102215	3339.495262	143.556822		
1.05290498519644	24.16562076	3425.067429	147.1474687		
1.11139970659624	25.50977011	3510.626082	150.6405022		
1.16989442799605	26.85269604	3596.178684	154.0323811		
1.22838914939585	28.19464674	3681.74715	157.3251266		
1.28688387079565	29.53542608	3767.326064	160.5229797		
1.34537859219545	30.8742089	3852.503923	163.6155798		
1.40387331359525	32.21193766	3938.20752	166.6409321		
1.46236803499506	33.54643615	4031.392117	169.8373274		
1.52086275639486	34.87914886	4126.494918	173.0054738		
1.57935747779466	36.20851436	4224.622443	176.1812226		
1.63785219919446	37.53387958	4322.932002	179.274728		
1.69634692059427	38.85627265	4421.326668	182.2894121		
1.75484164199407	40.17098227	4519.707592	185.2289834		
1.81333636339387	41.48178949	4618.084221	188.100569		
1.87183108479367	42.7822196	4716.454438	190.906491		
1.93032580619347	44.0732412	4814.888225	193.6206448		
1.98882052759328	45.35332757	4913.293032	196.1996185		
2.04731524899308	46.61082653	5007.189199	198.4975639		
2.10580997039288	47.85565462	5099.090496	200.5581257		
2.16430469179268	49.05533499	5187.398046	202.3310737		
2.22279941319249	50.23054189	5275.581694	203.8692827		
2.28129413459229	51.36253642	5363.917368	205.1479489		
2.33978885599209	52.47974313	5452.238689	206.1345359		
2.39828357739189	53.58724259	5540.536787	206.7996094		
2.45677829879169	54.67870514	5628.544805	207.1133774		
2.5152730201915	55.75857887	5717.474614	207.0465962		
2.5737677415913	56.80363021	5809.640747	206.5326527		
2.6322624629911	57.73896538	5872.369983	205.886674		
2.6907571843909	58.54667986	5899.055511	205.5310066	2	
2.74925190579071	58.96766151	5761.687649	206.860399		
2.80774662719051	59.22628418	5556.275345	206.8821547		
2.86624134859031	59.20548516	5240.475395	203.2866036		
2.92473606999011	59.15930078	4922.730046	196.4383463		
2.98323079138991	59.09303361	4611.827877	187.919839		
3.04172551278972	59.03676326	4290.534188	178.2645907		
3.10022023418952	58.99404455	3971.551248	167.7955455		
3.15871495558932	59.11711296	3853.864198	163.6642874		
3.21720967698912	59.32172225	3800.696321	161.7450346		
3.27570439838893	59.7268748	3870.838524	164.2699314		
3.33419911978873	60.21379391	3944.518557	166.8604085		
3.39269384118853	60.78161975	4018.500138	169.4007101		
3.45118856258833	61.41405145	4092.650238	171.8885049		
3.50968328398813	62.07237595	4166.866785	174.3231089		
3.56817800538794	62.77576917	4241.193709	176.7086493		
3.62667272678774	63.49354312	4315.544272	179.045164		
3.68516744818754	64.23306072	4389.927365	181.3358245		
3.74366216958734	64.98734907	4464.326207	183.5830026		
3.80215689098715	65.75067004	4538.734229	185.7894586		
3.86065161238695	66.52773312	4613.149154	187.9580274		
3.91914633378675	67.30919765	4687.567725	190.0904191		
3.97764105518655	68.09918931	4761.993599	192.1762571		
4.03613577658636	68.8932877	4836.283987	194.1942433		
4.09463049798616	69.69133297	4910.236466	196.1218871		
4.15312521938596	70.49342515	4976.271703	197.7607021		
4.21161994078576	71.29709973	5037.378248	199.1966962		
4.27011466218556	72.10360072	5079.754234	200.1417108		
4.32860938358537	72.91081851	5121.654706	201.0316114		
4.38710410498517	73.71902072	5164.167092	201.8860269		
4.44559882638497	74.52714781	5206.610489	202.6870717		
4.50409354778477	75.33512927	5249.009416	203.4319782		
4.56258826918457	76.14120049	5291.392322	204.1182753		
4.62108299058438	76.9457695	5333.769883	204.7429226		
4.67957771198418	77.74639688	5376.136742	205.3026217		
4.73807243338398	78.54117737	5418.496516	205.7939605		
4.79656715478378	79.3301627	5460.849531	206.2139496		
4.85506187618359	80.10473762	5503.189883	206.5593327		
4.91355659758339	80.87349255	5545.523751	206.8269633		
4.97205131898319	81.63018094	5587.837722	207.0133714		
5.03054604038299	82.38379713	5630.136609	207.1155608		
5.0890407617828	83.13325569	5672.412147	207.1304589		
5.1475354831826	83.87769577	5714.645045	207.0550303		
5.2060302045824	84.61893123	5756.850186	206.8859907		
5.2645249259822	85.34884732	5798.950744	206.6176323		
5.323019647382	86.07096107	5840.93307	206.2426798		
5.38151436878181	86.77390868	5882.617383	205.7560258		
5.44000909018161	87.44696368	5924.838932	205.1385104		
5.49850381158141	88.08945886	5966.843449	204.3919575		
5.55699853298121	88.5831579	5983.820731	204.0548983	3	
5.61549325438102	88.98554655	5962.568733	204.4739945		
5.67398797578082	89.06717829	5748.01516	206.9292534		
5.73248269718062	89.09520374	5520.252662	206.6768087		
5.79097741858042	89.06139368	5284.097594	204.0045221		
5.84947213998022	89.02006618	5048.28655	199.4440949		
5.90796686138003	88.97728221	4812.902848	193.5670716		
